"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    arrange: build and deploy the paas charm.
    act: deploy the MongoDB database and relate it to the charm.
    assert: requesting the charm should return a correct response
    ","68113","test_with_mongodb[flask_app-8000-mongodb/status]","tests.integration.integrations","2026-08-22","passed","2026-08-22","","test_mongodb","",""
"
    arrange: build and deploy the fastapi charm with postgresql integration.
    act: send a request to an endpoint that checks the table created by the micration script.
    assert: the fastapi application should return a correct response.
    ","267","test_migration","tests.integration.fastapi","2026-08-22","passed","2026-08-22","","test_fastapi","",""
"
    arrange: build and deploy the paas charm.
    act: deploy the MongoDB database and relate it to the charm.
    assert: requesting the charm should return a correct response
    ","118749","test_with_mongodb[spring_boot_app-8080-mongodb/status]","tests.integration.integrations","2026-08-22","passed","2026-08-22","","test_mongodb","",""
"Build and deploy the flask charm.","31998","test_proxy","tests.integration.flask","2026-08-22","passed","2026-08-22","","test_proxy","",""
"
    arrange: build and deploy the flask charm, and change Flask app configurations.
    act: none.
    assert: Flask application should receive the application configuration correctly.
    ","202","test_app_config[dict]","tests.integration.flask","2026-08-22","passed","2026-08-22","","test_flask_configs","",""
"
    arrange: build and deploy the flask charm without ingress. Get the service ip
        address.
    act: request env variables through the service ip address.
    assert: the request should success and the env variable FLASK_BASE_URL
        should point to the service.
    ","518","test_port_without_ingress","tests.integration.flask","2026-08-22","passed","2026-08-22","","test_charm","",""
"
    arrange: Build and deploy the charm. Integrate the charm with OpenFGA.
    act: Send a read authorization models request from the charm.
    assert: The request succeeds.
    ","56456","test_openfga_integrations[fastapi_app-8080]","tests.integration.integrations","2026-08-22","passed","2026-08-22","","test_openfga","",""
"
    arrange: Deploy Tempo cluster, app to test and postgres if required.
    act: Send 5 requests to the app.
    assert: Tempo should have tracing info about the app.
    ","93084","test_workload_tracing[spring_boot_app-8080]","tests.integration.integrations","2026-08-22","passed","2026-08-22","","test_tracing","",""
"
    arrange: deploy the Flask charm with framework_logging_format=json in paas-config.yaml.
    act: make a request to GET /.
    assert: container logs contain valid JSON with OTEL fields for access and error logs.
    ","1464","test_json_logging","tests.integration.flask","2026-08-22","passed","2026-08-22","","test_charm","",""
"
    arrange: build and deploy the flask charm.
    act: add a unit and request env variables through the unit IP addresses.
    assert: the peer address must be present in the units' env.
    ","101427","test_app_peer_address","tests.integration.flask","2026-08-22","passed","2026-08-22","","test_charm","",""
"
    arrange: Deploy the application.
    act: Set the non-optional config options 1 by 1 and check.
    assert: At first both options should be in status message,
        when one set the charm should still be in blocked state
        with the message showing which option is missing.
        When both set charm should be in active state.
    ","38063","test_non_optional[fastapi]","tests.integration.general","2026-08-22","passed","2026-08-22","","test_config","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with prometheus charm.
    assert: prometheus metrics endpoint for prometheus is active and prometheus has active scrape
        targets.
    ","","test_prometheus_integration[spring_boot_app-8080-/actuator/prometheus]","tests.integration.integrations","","unknown","","","test_prometheus","",""
"
    arrange: build and deploy the ExpressJS charm with postgresql integration.
    act: send a request to an endpoint that checks the table created by the migration script.
        Then try to add same user twice.
    assert: the ExpressJS application should add the user only once.
    ","260","test_migration","tests.integration.expressjs","2026-08-22","passed","2026-08-22","","test_expressjs","",""
