"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    arrange: Flask is deployed with async enabled rock. Change gunicorn worker class.
    act: Do 15 requests that would take 2 seconds each.
    assert: All 15 requests should be served in under 3 seconds.
    ","5251","test_async_workers","tests.integration.flask","2026-07-11","passed","2026-07-11","","test_workers","",""
"
    arrange: Build and deploy the charm. Integrate the charm with the smtp-integrator.
    act: Send an email from the charm.
    assert: The mailcatcher should have received the email.
    ","47124","test_smtp_integrations[fastapi_app-8080]","tests.integration.integrations","2026-07-11","passed","2026-07-11","","test_smtp","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with grafana charm.
    assert: grafana 12-Factor dashboard can be found.
    ","43330","test_grafana_integration[go_app-Go Operator]","tests.integration.integrations","2026-07-11","passed","2026-07-11","","test_grafana","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","188243","test_loki_integration[spring_boot_app-8080]","tests.integration.integrations","2026-07-11","passed","2026-07-11","","test_loki","",""
"
    arrange: build and deploy the ExpressJS charm with postgresql integration.
    act: send a request to an endpoint that checks the table created by the migration script.
        Then try to add same user twice.
    assert: the ExpressJS application should add the user only once.
    ","297","test_migration","tests.integration.expressjs","2026-07-11","passed","2026-07-11","","test_expressjs","",""
"
    arrange: build and deploy the flask charm, and change secret configurations.
    act: query flask environment variables from the Flask server.
    assert: the flask environment variables should match secret configuration values.
    ","232","test_flask_secret_config[user-secret]","tests.integration.flask","2026-07-11","passed","2026-07-11","","test_flask_configs","",""
"
    arrange: Charm is deployed with postgresql integration.
    act: Remove integration.
    assert: The service is down.
    act: Integrate again with postgresql.
    assert: The service is working again.
    ","21688","test_blocking_and_restarting_on_required_integration","tests.integration.django","2026-07-11","passed","2026-07-11","","test_django_integrations","",""
"
    arrange: build and deploy the flask charm.
    act: query flask secret key from the Flask server.
    assert: flask should have a default and secure secret configured.
    ","883","test_default_secret_key","tests.integration.flask","2026-07-11","passed","2026-07-11","","test_charm","",""
"
    arrange: build and deploy the flask charm.
    act: add a unit and request env variables through the unit IP addresses.
    assert: the peer address must be present in the units' env.
    ","107397","test_app_peer_address","tests.integration.flask","2026-07-11","passed","2026-07-11","","test_charm","",""
"
    arrange: set up the test Juju model and deploy the workload charm.
    act: integrate with ingress and hydra.
    assert: the workload charm uses the Kratos charm as the idp.
    ","","test_oauth_integrations[fastapi_app-login]","tests.integration.integrations","","unknown","","","test_oauth","",""
"
    arrange: Build and deploy the charm. Integrate the charm with OpenFGA.
    act: Send a read authorization models request from the charm.
    assert: The request succeeds.
    ","56548","test_openfga_integrations[fastapi_app-8080]","tests.integration.integrations","2026-07-11","passed","2026-07-11","","test_openfga","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","159251","test_loki_integration[fastapi_app-8080]","tests.integration.integrations","2026-07-11","passed","2026-07-11","","test_loki","",""
"
    arrange: build and deploy the flask charm.
    act: run rotate-secret-key action on the leader unit.
    assert: Flask applications on every unit should have a new secret key configured.
    ","11812","test_rotate_secret_key","tests.integration.flask","2026-07-11","passed","2026-07-11","","test_charm","",""
"
    arrange: build and deploy the paas charm.
    act: deploy the redis database and relate it to the charm.
    assert: requesting the charm should return a correct response
    ","81052","test_with_redis[flask_app-8000-redis/status]","tests.integration.integrations","2026-07-11","passed","2026-07-11","","test_redis","",""
"
    arrange: set up the test Juju model and deploy the workload charm.
    act: integrate with ingress and hydra.
    assert: the workload charm uses the Kratos charm as the idp.
    ","","test_oauth_integrations[spring_boot_app-oauth2/authorization/oidc]","tests.integration.integrations","","unknown","","","test_oauth","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with prometheus charm.
    assert: prometheus metrics endpoint for prometheus is active and prometheus has active scrape
        targets.
    ","52650","test_prometheus_integration[fastapi_app-8080-/metrics]","tests.integration.integrations","2026-07-11","passed","2026-07-11","","test_prometheus","",""
"
    arrange: build and deploy the django charm with database migration enabled.
    act: access an endpoint requiring database.
    assert: request succeed.
    ","609","test_django_database_migration","tests.integration.django","2026-07-11","passed","2026-07-11","","test_django","",""
"
    arrange: build and deploy the ExpressJS charm. Set the config user-defined-config to a new value.
    act: call the endpoint to get the value of the env variable related to the config.
    assert: the value of the env variable and the config should match.
    ","5866","test_user_defined_config","tests.integration.expressjs","2026-07-11","passed","2026-07-11","","test_expressjs","",""
"
    arrange: set up the test Juju model and deploy the workload charm.
    act: integrate with ingress and hydra.
    assert: the workload charm uses the Kratos charm as the idp.
    ","","test_oauth_integrations[go_app-login/openid-connect]","tests.integration.integrations","","unknown","","","test_oauth","",""
"
    arrange: build and deploy the flask charm, and change Flask app configurations.
    act: none.
    assert: Flask application should receive the application configuration correctly.
    ","224","test_app_config[dict]","tests.integration.flask","2026-07-11","passed","2026-07-11","","test_flask_configs","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","164104","test_loki_integration[flask_app-8000]","tests.integration.integrations","2026-07-11","passed","2026-07-11","","test_loki","",""
"
    arrange: build and deploy the flask charm, and change flask related configurations
        to certain invalid values.
    act: none.
    assert: flask charm should enter the blocked status and the status message should show
        invalid configuration options.
    ","233","test_invalid_flask_config[permanent_session_lifetime]","tests.integration.flask","2026-07-11","passed","2026-07-11","","test_flask_configs","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","152568","test_loki_integration[go_app-8080]","tests.integration.integrations","2026-07-11","passed","2026-07-11","","test_loki","",""
"
    arrange: The app and rabbitmq deployed
    act: Integrate the app with rabbitmq
    assert: Assert that RabbitMQ works correctly
    ","95660","test_rabbitmq_server_integration[go_app-8080-rabbitmq_k8s_app]","tests.integration.integrations","2026-07-11","passed","2026-07-11","","test_rabbitmq","",""
"
    arrange: build and deploy the flask charm, and change Flask app configurations.
    act: none.
    assert: Flask application should receive the application configuration correctly.
    ","239","test_app_config[bool]","tests.integration.flask","2026-07-11","passed","2026-07-11","","test_flask_configs","",""
"
    arrange: build and deploy the django charm, and change the django related configuration.
    act: send request to the django application to retrieve the corresponding settings.
    assert: settings in django application correctly updated according to the charm configuration.
    ","493","test_django_charm_config[secret-key]","tests.integration.django","2026-07-11","passed","2026-07-11","","test_django","",""
"
    arrange: build and deploy the go charm.
    act: send a request to the go application managed by the go charm.
    assert: the go application should return a correct response.
    ","301","test_go_is_up","tests.integration.go","2026-07-11","passed","2026-07-11","","test_go","",""
"
    arrange: build and deploy the flask charm, and change flask related configurations.
    act: query flask configurations from the Flask server.
    assert: the flask configuration should match flask related charm configurations.
    ","225","test_flask_config[secret_key]","tests.integration.flask","2026-07-11","passed","2026-07-11","","test_flask_configs","",""
"
    arrange: Integrate the Charm with saml-integrator, with a real SP.
    act: Call the endpoint to get env variables.
    assert: Valid Saml env variables should be in the workload.
    ","78383","test_saml_integration[flask_app-8000]","tests.integration.integrations","2026-07-11","passed","2026-07-11","","test_saml","",""
"
    arrange: Build and deploy the charm. Integrate the charm with the smtp-integrator.
    act: Send an email from the charm.
    assert: The mailcatcher should have received the email.
    ","73220","test_smtp_integrations[spring_boot_app-8080]","tests.integration.integrations","2026-07-11","passed","2026-07-11","","test_smtp","",""
