"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    arrange: build and deploy the django charm.
    act: create a superuser using the create-superuser action.
    assert: a superuser is created by the charm.
    ","6130","test_django_create_superuser","tests.integration.django","2026-09-05","passed","2026-09-05","","test_django","",""
"
    arrange: The app and rabbitmq deployed
    act: Integrate the app with rabbitmq
    assert: Assert that RabbitMQ works correctly
    ","156344","test_rabbitmq_server_integration[spring_boot_app-8080-rabbitmq_k8s_app]","tests.integration.integrations","2026-09-05","passed","2026-09-05","","test_rabbitmq","",""
"
    arrange: deploy the FastAPI charm with framework_logging_format=json in paas-config.yaml.
    act: make a request to GET /boom (access log + error log with exception).
    assert: container logs contain valid JSON with OTEL fields, trace correlation, and exception info.
    ","1046","test_json_logging","tests.integration.fastapi","2026-09-05","passed","2026-09-05","","test_fastapi","",""
"
    arrange: Deploy Tempo cluster, app to test and postgres if required.
    act: Send 5 requests to the app.
    assert: Tempo should have tracing info about the app.
    ","","test_workload_tracing[go_app-8080]","tests.integration.integrations","","unknown","","","test_tracing","",""
"
    arrange: after non-root charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","91136","test_non_root_loki_integration[Flask non-root]","tests.integration.general","2026-09-05","passed","2026-09-05","","test_non_root_loki","",""
"
    arrange: build and deploy the flask charm, and change flask related configurations.
    act: query flask configurations from the Flask server.
    assert: the flask configuration should match flask related charm configurations.
    ","","test_flask_config[permanent_session_lifetime]","tests.integration.flask","","unknown","","","test_flask_configs","",""
"
    arrange: Deploy Tempo cluster, app to test and postgres if required.
    act: Send 5 requests to the app.
    assert: Tempo should have tracing info about the app.
    ","","test_workload_tracing[flask_app-8000]","tests.integration.integrations","","unknown","","","test_tracing","",""
"
    arrange: Build and deploy the charm. Integrate the charm with the smtp-integrator.
    act: Send an email from the charm.
    assert: The mailcatcher should have received the email.
    ","110205","test_smtp_integrations[django_app-8000]","tests.integration.integrations","2026-09-05","passed","2026-09-05","","test_smtp","",""
"
    arrange: Deploy 12-factor app and http proxy configurator correctly configured.
    act: Relate the http proxy configurator with the 12-factor app.
    assert: The correct proxy env vars from the relation are set in the 12-factor app.
    ","48639","test_proxy_integration[flask_app-8000]","tests.integration.integrations","2026-09-05","passed","2026-09-05","","test_http_proxy","",""
"
    arrange: build and deploy the flask charm, and change Flask app configurations.
    act: none.
    assert: Flask application should receive the application configuration correctly.
    ","","test_app_config[dict]","tests.integration.flask","","unknown","","","test_flask_configs","",""
"
    arrange: after non-root charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","75186","test_non_root_loki_integration[FastAPI non-root]","tests.integration.general","2026-09-05","passed","2026-09-05","","test_non_root_loki","",""
"
    arrange: build and deploy the Springboot charm with postgresql integration.
    act: send a request to an endpoint that checks the table created by the migration script.
        Then try to add same user twice.
    assert: the Springboot application should add the user only once.
    ","","test_migration","tests.integration.springboot","","unknown","","","test_charm","",""
"
    arrange: build and deploy the flask charm, and change Flask app configurations.
    act: none.
    assert: Flask application should receive the application configuration correctly.
    ","","test_app_config[builtin]","tests.integration.flask","","unknown","","","test_flask_configs","",""
"
    arrange: Charm is deployed with postgresql integration.
    act: Remove integration.
    assert: The service is down.
    act: Integrate again with postgresql.
    assert: The service is working again.
    ","20470","test_blocking_and_restarting_on_required_integration","tests.integration.django","2026-09-05","passed","2026-09-05","","test_django_integrations","",""
"
    arrange: build and deploy the flask charm, and change the gunicorn timeout configuration.
    act: send long-running requests to the flask application managed by the flask charm.
    assert: the gunicorn should restart the worker if the request duration exceeds the timeout.
    ","","test_flask_webserver_timeout[timeout=5]","tests.integration.flask","","unknown","","","test_charm","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with prometheus charm.
    assert: prometheus metrics endpoint for prometheus is active and prometheus has active scrape
        targets.
    ","48995","test_prometheus_integration[go_app-8081-/metrics]","tests.integration.integrations","2026-09-05","passed","2026-09-05","","test_prometheus","",""
"
    arrange: Build and deploy the charm. Integrate the charm with the smtp-integrator.
    act: Send an email from the charm.
    assert: The mailcatcher should have received the email.
    ","55162","test_smtp_integrations[expressjs_app-8080]","tests.integration.integrations","2026-09-05","passed","2026-09-05","","test_smtp","",""
"
    arrange: set up the test Juju model and deploy the workload charm.
    act: integrate with ingress and hydra.
    assert: the workload charm uses the Kratos charm as the idp.
    ","","test_oauth_integrations[django_app-auth_login]","tests.integration.integrations","","unknown","","","test_oauth","",""
"
    arrange: The app and rabbitmq deployed
    act: Integrate the app with rabbitmq
    assert: Assert that RabbitMQ works correctly
    ","92562","test_rabbitmq_server_integration[go_app-8080-rabbitmq_k8s_app]","tests.integration.integrations","2026-09-05","passed","2026-09-05","","test_rabbitmq","",""
"
    arrange: build and deploy the flask charm, and change the gunicorn timeout configuration.
    act: send long-running requests to the flask application managed by the flask charm.
    assert: the gunicorn should restart the worker if the request duration exceeds the timeout.
    ","","test_flask_webserver_timeout[timeout=7]","tests.integration.flask","","unknown","","","test_charm","",""
"
    arrange: build and deploy the non-root charm.
    act: deploy the database and relate it to the charm.
    assert: requesting the charm should return a correct response indicate
        the database migration script has been executed and only executed once.
    ","39589","test_non_root_db_migration[Flask non-root]","tests.integration.general","2026-09-05","passed","2026-09-05","","test_non_root_db_migration","",""
"
    arrange: Deploy Tempo cluster, app to test and postgres if required.
    act: Send 5 requests to the app.
    assert: Tempo should have tracing info about the app.
    ","","test_workload_tracing[django_app-8000]","tests.integration.integrations","","unknown","","","test_tracing","",""
"
    arrange: set up the test Juju model and deploy the workload charm.
    act: integrate with ingress and hydra.
    assert: the workload charm uses the Kratos charm as the idp.
    ","","test_oauth_integrations[expressjs_app-login]","tests.integration.integrations","","unknown","","","test_oauth","",""
"
    arrange: build and deploy the flask charm, and change Flask app configurations.
    act: none.
    assert: Flask application should receive the application configuration correctly.
    ","","test_app_config[str]","tests.integration.flask","","unknown","","","test_flask_configs","",""
"
    arrange: set up the test Juju model and deploy the workload charm.
    act: integrate with ingress and hydra.
    assert: the workload charm uses the Kratos charm as the idp.
    ","","test_oauth_integrations[flask_app-login]","tests.integration.integrations","","unknown","","","test_oauth","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with grafana charm.
    assert: grafana 12-Factor dashboard can be found.
    ","65709","test_grafana_integration[spring_boot_app-Spring Boot Operator]","tests.integration.integrations","2026-09-05","passed","2026-09-05","","test_grafana","",""
"
    arrange: after non-root charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","135669","test_non_root_loki_integration[Django non-root]","tests.integration.general","2026-09-05","passed","2026-09-05","","test_non_root_loki","",""
"
    arrange: Build and deploy the charm. Integrate the charm with OpenFGA.
    act: Send a read authorization models request from the charm.
    assert: The request succeeds.
    ","45528","test_openfga_integrations[flask_app-8000]","tests.integration.integrations","2026-09-05","passed","2026-09-05","","test_openfga","",""
"
    arrange: build and deploy the fastapi charm.
    act: send a request to the fastapi application managed by the fastapi charm.
    assert: the fastapi application should return a correct response.
    ","150","test_fastapi_is_up","tests.integration.fastapi","2026-09-05","passed","2026-09-05","","test_fastapi","",""
"
    arrange: build and deploy the flask charm, and change secret configurations.
    act: query flask environment variables from the Flask server.
    assert: the flask environment variables should match secret configuration values.
    ","","test_flask_secret_config[secret_key]","tests.integration.flask","","unknown","","","test_flask_configs","",""
"
    arrange: build and deploy the paas charm.
    act: deploy the MongoDB database and relate it to the charm.
    assert: requesting the charm should return a correct response
    ","136842","test_with_mongodb[spring_boot_app-8080-mongodb/status]","tests.integration.integrations","2026-09-05","passed","2026-09-05","","test_mongodb","",""
"
    arrange: Build and deploy the charm. Integrate the charm with the smtp-integrator.
    act: Send an email from the charm.
    assert: The mailcatcher should have received the email.
    ","36473","test_smtp_integrations[go_app-8080]","tests.integration.integrations","2026-09-05","passed","2026-09-05","","test_smtp","",""
"
    arrange: build and deploy the flask charm, and change flask related configurations.
    act: query flask configurations from the Flask server.
    assert: the flask configuration should match flask related charm configurations.
    ","","test_flask_config[secret_key]","tests.integration.flask","","unknown","","","test_flask_configs","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with grafana charm.
    assert: grafana 12-Factor dashboard can be found.
    ","49551","test_grafana_integration[fastapi_app-FastAPI Operator]","tests.integration.integrations","2026-09-05","passed","2026-09-05","","test_grafana","",""
